version,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,MTurkCode
1,4/20/17 14:17,4/20/17 14:24,IP Address,107.143.130.67,100,393,TRUE,4/20/17 14:24,R_3DqJNBRAtPYRcot,,,,,36.11470032,-79.74220276,anonymous,3,1,2,5,4,50,100,81,11,31,2,3,5,1,4,83,57,14,98,32,3,5,1,2,4,30,7,74,55,21,3,4,5,2,1,50,36,16,78,100,8880826
1,4/20/17 14:22,4/20/17 14:26,IP Address,104.174.223.0,100,279,TRUE,4/20/17 14:26,R_3WbTPknWGXC6sU1,,,,,34.08999634,-117.8903046,anonymous,3,1,2,5,4,28,97,64,5,13,3,4,5,1,2,24,10,3,89,80,3,5,2,1,4,22,6,76,89,17,3,4,5,2,1,34,19,8,79,93,6985342
1,4/20/17 14:20,4/20/17 14:27,IP Address,68.117.88.33,100,419,TRUE,4/20/17 14:27,R_1jTdiXSVckeUOPu,,,,,43.79820251,-91.12860107,anonymous,2,1,3,5,4,45,100,67,51,51,3,5,4,1,2,54,18,36,100,89,4,5,2,1,3,51,24,84,100,66,3,4,5,2,1,63,42,23,89,100,9711569
1,4/20/17 14:18,4/20/17 14:28,IP Address,98.113.174.246,100,601,TRUE,4/20/17 14:28,R_eu4tQi98QfHZD7r,,,,,40.61000061,-73.91079712,anonymous,4,1,3,5,2,28,100,69,30,70,2,4,5,1,3,68,49,19,98,71,4,5,1,2,3,20,18,81,66,39,3,4,5,2,1,35,31,24,66,98,1146914
1,4/20/17 14:19,4/20/17 14:30,IP Address,73.217.38.207,100,668,TRUE,4/20/17 14:30,R_REwXvyvMUP8O52N,,,,,40.45080566,-104.6893997,anonymous,3,1,2,5,4,65,98,83,32,53,3,4,5,1,2,68,54,34,99,85,3,5,1,2,4,61,32,98,81,53,4,3,5,2,1,44,56,26,81,97,9557567
1,4/20/17 14:27,4/20/17 14:32,IP Address,70.231.45.29,100,307,TRUE,4/20/17 14:32,R_SE0Cd9DWHxuy33r,,,,,29.40370178,-98.72460175,anonymous,4,1,2,5,3,39,100,82,39,58,3,4,5,1,2,67,51,37,95,74,3,5,2,1,4,32,32,71,87,35,3,4,5,2,1,65,63,33,84,100,3634392
1,4/20/17 14:39,4/20/17 14:43,IP Address,74.250.171.165,100,210,TRUE,4/20/17 14:43,R_3EiHrxgM5OvwdDJ,,,,,35.39019775,-82.37249756,anonymous,3,1,2,4,5,37,95,45,31,45,2,4,5,3,1,47,32,33,83,71,4,5,2,1,3,21,10,78,93,43,4,3,5,2,1,61,52,44,55,88,5021207
1,4/20/17 14:30,4/20/17 14:43,IP Address,73.79.231.33,100,768,TRUE,4/20/17 14:43,R_YS2rYEfF2oKigbn,,,,,40.44259644,-79.97699738,anonymous,3,1,2,5,4,38,96,63,13,31,3,4,5,1,2,45,24,13,81,72,4,3,2,1,5,13,29,74,80,6,5,3,4,2,1,14,58,66,35,90,4263083
1,4/20/17 14:42,4/20/17 14:52,IP Address,108.87.185.151,100,554,TRUE,4/20/17 14:52,R_3PuID9M3d6gRXqa,,,,,25.63609314,-80.30449677,anonymous,5,1,2,4,3,8,100,76,27,58,2,4,5,1,3,78,23,0,90,56,3,5,1,2,4,51,11,87,77,26,3,4,5,2,1,48,27,20,64,99,8394712
1,4/20/17 14:46,4/20/17 14:57,IP Address,108.243.241.47,100,619,TRUE,4/20/17 14:57,R_1psrO1FsaQb3MJ1,,,,,25.81239319,-80.24009705,anonymous,4,1,2,5,3,29,100,80,0,49,3,4,5,1,2,50,20,0,100,73,5,4,2,1,3,0,20,75,100,49,3,4,5,2,1,52,25,0,76,100,5316649
1,4/20/17 14:56,4/20/17 15:05,IP Address,172.250.38.45,100,545,TRUE,4/20/17 15:05,R_pFN0UYNBaVjG7qF,,,,,34.1006012,-118.3274994,anonymous,4,1,2,5,3,44,100,70,8,51,2,4,5,1,3,51,18,18,87,88,3,5,2,1,4,43,7,74,86,10,3,4,5,2,1,45,14,7,75,90,6376174
1,4/20/17 15:01,4/20/17 15:17,IP Address,68.63.164.245,100,952,TRUE,4/20/17 15:17,R_1IZcuI6xqa0OSDf,,,,,36.6703949,-81.96720123,anonymous,4,1,2,5,3,37,100,82,20,68,3,4,5,1,2,55,21,8,89,67,3,5,1,2,4,47,6,87,72,32,3,4,5,2,1,63,37,29,81,100,1088768
1,4/20/17 15:20,4/20/17 15:23,IP Address,198.8.80.209,100,191,TRUE,4/20/17 15:23,R_3JKQgOg50yeXDvY,,,,,34.0493927,-118.2640991,anonymous,4,1,2,3,5,37,82,72,24,20,3,4,5,1,2,32,25,15,85,83,4,5,1,2,3,15,24,76,87,38,2,4,5,3,1,79,31,20,73,89,1164794
1,4/20/17 15:34,4/20/17 15:45,IP Address,73.190.88.188,100,649,TRUE,4/20/17 15:45,R_1FnBGLNCVZOVvj7,,,,,45.51460266,-122.5991974,anonymous,4,1,2,5,3,22,100,85,19,78,1,4,3,2,5,98,44,22,91,8,5,4,1,2,3,11,13,95,79,40,3,5,4,2,1,39,18,37,80,100,1172170
1,4/20/17 15:43,4/20/17 16:10,IP Address,67.160.137.62,100,1617,TRUE,4/20/17 16:10,R_2YieHiadEzccA2m,,,,,45.4763031,-122.6408005,anonymous,4,1,2,5,3,49,100,82,31,56,2,4,5,1,3,67,46,32,85,60,3,5,2,1,4,40,17,51,83,32,3,4,5,2,1,47,43,39,73,97,2820712
1,4/21/17 2:02,4/21/17 2:13,IP Address,24.20.124.0,100,686,TRUE,4/21/17 2:13,R_qVO79zQ3QwfZGlb,,,,,45.55340576,-122.8191986,anonymous,3,1,2,5,4,48,100,66,25,45,3,4,5,1,2,76,42,26,93,86,4,3,2,1,5,28,28,64,73,18,3,5,4,2,1,57,27,52,76,100,8569582
1,4/21/17 2:05,4/21/17 2:22,IP Address,174.58.15.129,100,1008,TRUE,4/21/17 2:22,R_2uvsb7BS7HWNfjX,,,,,27.3374939,-82.51399994,anonymous,3,1,2,5,4,56,100,81,43,59,3,4,5,1,2,51,51,24,97,84,4,5,2,1,3,34,25,62,83,50,3,4,5,2,1,54,36,29,79,100,8936181
2,4/20/17 13:56,4/20/17 14:03,IP Address,98.102.88.42,100,404,TRUE,4/20/17 14:03,R_2CHdXyzYUEfpziT,,,,,43.05079651,-88.0381012,anonymous,4,1,2,5,3,29,100,87,19,72,2,4,5,1,3,71,35,5,95,65,4,5,2,1,3,17,6,81,96,54,2,5,3,4,1,70,6,54,20,98,1094725
2,4/20/17 14:02,4/20/17 14:09,IP Address,85.247.0.84,100,411,TRUE,4/20/17 14:09,R_1eRXu44MPgJwClO,,,,,32.63330078,-16.8999939,anonymous,5,1,2,4,3,8,100,81,14,48,2,4,5,1,3,78,33,2,91,63,3,5,2,1,4,41,0,62,81,25,2,5,3,4,1,85,14,65,32,100,7262157
2,4/20/17 14:04,4/20/17 14:09,IP Address,72.203.129.158,100,293,TRUE,4/20/17 14:09,R_daFhTr4KlB0Qh8t,,,,,30.35490417,-91.07679749,anonymous,4,1,2,3,5,100,100,100,100,100,1,4,3,2,5,83,76,26,75,51,1,2,3,5,4,75,61,90,35,65,4,3,2,1,5,61,25,84,95,15,3620929
2,4/20/17 14:05,4/20/17 14:09,IP Address,27.1.101.181,100,245,TRUE,4/20/17 14:09,R_tK6FmxvwdcOFpyp,,,,,37.51109314,126.9743042,anonymous,4,1,2,5,3,15,100,75,29,47,1,4,5,2,3,74,18,4,89,67,5,4,2,1,3,17,20,50,65,13,2,4,5,3,1,45,33,33,62,100,6025440
2,4/20/17 13:56,4/20/17 14:09,IP Address,68.200.95.124,100,791,TRUE,4/20/17 14:09,R_1Fm3Fml5m4lcRVc,,,,,28.30310059,-82.70480347,anonymous,2,1,4,5,3,43,100,20,20,43,2,3,4,1,5,86,34,16,97,0,3,5,2,1,4,40,0,72,99,40,2,3,5,4,1,74,65,55,60,98,6714216
2,4/20/17 14:07,4/20/17 14:17,IP Address,73.29.134.72,100,650,TRUE,4/20/17 14:17,R_1F3qCdRdVyGOKRW,,,,,39.74009705,-74.97090149,anonymous,4,1,2,5,3,16,100,83,6,49,3,4,5,1,2,37,19,1,85,66,3,5,2,1,4,57,1,67,88,39,4,3,5,2,1,47,62,40,80,100,2803816
2,4/20/17 14:12,4/20/17 14:20,IP Address,65.96.111.184,100,488,TRUE,4/20/17 14:20,R_3e2JjjtTfqnaUkZ,,,,,42.38000488,-71.13289642,anonymous,1,5,4,3,2,83,0,8,59,78,1,3,4,2,5,75,63,33,74,19,3,5,2,1,4,56,39,16,73,73,3,4,1,2,5,57,48,75,66,9,7158665
2,4/20/17 14:11,4/20/17 14:21,IP Address,69.130.122.37,100,550,TRUE,4/20/17 14:21,R_2cdMMCduJCe9wZH,,,,,37.81159973,-113.2240982,anonymous,4,1,2,5,3,100,100,100,100,100,3,4,5,1,2,68,51,12,92,81,4,5,2,1,3,43,17,82,91,63,4,3,5,2,1,41,67,24,81,100,1607640
2,4/20/17 14:12,4/20/17 14:22,IP Address,99.111.60.205,100,603,TRUE,4/20/17 14:22,R_wWPnKaELsgETu6t,,,,,42.24000549,-87.87169647,anonymous,4,1,2,5,3,45,100,77,13,61,2,4,5,1,3,73,17,0,68,45,4,5,2,1,3,15,0,58,70,7,2,5,4,3,1,42,12,20,26,100,3251119
2,4/20/17 14:20,4/20/17 14:24,IP Address,73.53.100.228,100,272,TRUE,4/20/17 14:24,R_1laQIELrqAFyI5e,,,,,47.2875061,-122.1094055,anonymous,4,1,2,5,3,44,100,83,35,70,3,4,5,1,2,67,57,44,91,82,5,4,1,2,3,22,35,92,80,67,2,5,4,3,1,82,18,33,48,100,4074608
2,4/20/17 14:20,4/20/17 14:26,IP Address,198.24.30.133,100,352,TRUE,4/20/17 14:26,R_yqkDzGV0kv1CgNP,,,,,38.87910461,-77.37660217,anonymous,1,5,3,4,2,100,0,51,23,79,3,2,1,4,5,50,75,100,25,0,5,2,3,4,1,0,79,50,22,100,1,3,5,2,4,100,50,0,77,21,9684425
2,4/20/17 14:17,4/20/17 14:28,IP Address,70.170.124.163,100,676,TRUE,4/20/17 14:28,R_2YX1nb3x5pH6hz6,,,,,36.00970459,-115.1479034,anonymous,4,1,2,5,3,43,96,78,30,63,3,4,5,1,2,63,39,25,84,65,4,5,2,1,3,29,54,61,76,25,3,4,5,2,1,49,47,29,71,87,6697034
2,4/20/17 14:25,4/20/17 14:32,IP Address,112.207.49.110,100,425,TRUE,4/20/17 14:32,R_8r0F0Vrkfw7uXSh,,,,,14.60420227,120.9822083,anonymous,4,1,3,5,2,100,100,100,100,100,4,1,3,2,5,41,64,55,68,38,1,5,3,4,2,81,12,28,74,35,3,2,5,1,4,46,74,36,73,23,6985342
2,4/20/17 14:25,4/20/17 14:34,IP Address,23.226.163.196,100,532,TRUE,4/20/17 14:34,R_2ZJlkkzuXy0AJWD,,,,,37.4382019,-84.0510025,anonymous,2,1,3,5,4,84,100,68,68,68,4,1,2,5,3,77,93,93,78,92,1,5,3,2,4,96,75,85,97,87,1,2,4,3,5,97,97,87,87,74,4422575
